sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,long,15.05,1049.89,780.43,909.40,269.46,-128.97,140.50,13.4
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,long,15.34,1092.19,1130.82,1171.62,-38.64,-40.79,-79.43,-7.3
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,long,15.39,1402.16,991.68,1039.84,410.47,-48.15,362.32,25.8
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,long,15.44,1172.53,970.91,927.15,201.63,43.76,245.38,20.9
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,long,15.46,1173.67,719.24,645.98,454.43,73.26,527.69,45.0
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,long,15.53,1039.57,833.49,865.27,206.08,-31.78,174.30,16.8
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,long,15.57,1192.53,824.20,849.07,368.33,-24.88,343.45,28.8
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,long,15.85,1420.25,817.60,824.03,602.64,-6.43,596.21,42.0
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,long,15.92,1177.25,1359.01,1369.13,-181.76,-10.12,-191.87,-16.3
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,long,16.02,1229.32,870.00,970.06,359.32,-100.06,259.26,21.1
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,long,16.20,1455.88,927.91,951.61,527.96,-23.69,504.27,34.6
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,long,16.74,1197.65,1300.65,1280.72,-103.00,19.94,-83.07,-6.9
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,long,16.75,1080.41,828.43,897.70,251.99,-69.28,182.71,16.9
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,long,16.93,1720.85,1563.50,1609.57,157.35,-46.07,111.28,6.5
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,long,16.93,1443.07,1013.37,1005.26,429.70,8.11,437.81,30.3
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,long,16.98,1594.27,768.48,733.17,825.78,35.31,861.10,54.0
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,long,17.02,1268.84,1205.63,1214.44,63.22,-8.82,54.40,4.3
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,long,17.09,1087.77,849.13,862.39,238.64,-13.26,225.38,20.7
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,long,17.12,1193.69,724.86,824.31,468.83,-99.45,369.39,30.9
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,long,17.28,1564.77,1028.76,1064.71,536.01,-35.95,500.06,32.0
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,long,17.37,1615.67,786.94,820.48,828.73,-33.54,795.19,49.2
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,long,17.38,1255.64,1169.30,1168.84,86.34,0.46,86.80,6.9
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,long,17.44,1278.11,694.30,737.24,583.82,-42.94,540.87,42.3
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,long,17.54,1244.63,1135.31,1178.53,109.33,-43.23,66.10,5.3
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,long,17.61,1554.15,756.56,792.43,797.59,-35.87,761.72,49.0
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,long,17.80,1598.06,1406.31,1397.21,191.75,9.10,200.85,12.6
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,long,18.02,1661.14,1799.12,1913.25,-137.97,-114.13,-252.11,-15.2
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,long,18.11,1537.19,977.68,1007.48,559.51,-29.79,529.71,34.5
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,long,18.11,1604.46,668.47,651.76,935.98,16.71,952.69,59.4
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,long,18.34,1517.36,983.52,1023.71,533.84,-40.19,493.65,32.5
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,long,18.38,1383.21,910.18,922.98,473.03,-12.79,460.23,33.3
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,long,18.65,1268.38,1059.53,1129.67,208.85,-70.15,138.71,10.9
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,long,18.89,1558.53,744.34,771.97,814.19,-27.63,786.56,50.5
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,long,18.92,1412.94,979.37,1008.37,433.57,-29.00,404.57,28.6
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,long,18.99,1332.75,1414.37,1548.26,-81.62,-133.89,-215.51,-16.2
crosswoz_497_turn2,crosswoz,zh,497,2,98,long,19.02,1786.20,1530.13,1537.26,256.06,-7.12,248.94,13.9
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,long,19.05,1674.66,1773.18,1794.46,-98.52,-21.28,-119.80,-7.2
crosswoz_962_turn2,crosswoz,zh,962,2,93,long,19.21,1623.53,1107.10,1004.72,516.43,102.38,618.81,38.1
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,long,19.24,1405.59,794.23,829.19,611.36,-34.96,576.40,41.0
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,long,19.46,1709.73,922.32,892.88,787.40,29.44,816.85,47.8
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,long,19.47,1557.27,1269.40,1210.41,287.86,59.00,346.86,22.3
crosswoz_422_turn2,crosswoz,zh,422,2,98,long,19.48,1677.37,1187.09,1280.02,490.28,-92.94,397.34,23.7
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,long,19.52,1429.25,869.17,858.34,560.08,10.83,570.91,39.9
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,long,19.80,1508.93,811.00,768.15,697.93,42.85,740.78,49.1
multiwoz_MUL0711_turn2,multiwoz,en,MUL0711,2,262,long,19.82,1291.33,1016.79,1127.91,274.54,-111.12,163.42,12.7
crosswoz_7196_turn2,crosswoz,zh,7196,2,102,long,19.83,2224.38,1864.74,2065.54,359.64,-200.80,158.84,7.1
multiwoz_MUL0666_turn2,multiwoz,en,MUL0666,2,284,long,19.86,1360.27,1001.43,956.09,358.84,45.34,404.18,29.7
multiwoz_MUL0641_turn2,multiwoz,en,MUL0641,2,299,long,20.17,1474.66,1584.00,1627.78,-109.34,-43.79,-153.12,-10.4
crosswoz_1101_turn2,crosswoz,zh,1101,2,94,long,20.52,1826.00,678.40,795.73,1147.60,-117.33,1030.27,56.4
multiwoz_PMUL0237_turn4,multiwoz,en,PMUL0237,4,323,long,20.55,1514.39,1588.01,1681.15,-73.61,-93.15,-166.76,-11.0
crosswoz_8707_turn2,crosswoz,zh,8707,2,96,long,20.62,1710.15,1873.70,1817.89,-163.56,55.81,-107.74,-6.3
crosswoz_8907_turn2,crosswoz,zh,8907,2,108,long,20.70,1805.01,1868.00,1931.72,-62.98,-63.72,-126.70,-7.0
multiwoz_MUL1215_turn2,multiwoz,en,MUL1215,2,220,long,20.93,1336.89,1474.15,1521.68,-137.26,-47.52,-184.78,-13.8
multiwoz_MUL1353_turn2,multiwoz,en,MUL1353,2,289,long,21.07,1438.79,987.13,994.32,451.66,-7.19,444.47,30.9
multiwoz_PMUL2590_turn3,multiwoz,en,PMUL2590,3,294,long,21.14,1441.22,934.05,907.97,507.17,26.08,533.25,37.0
crosswoz_11334_turn2,crosswoz,zh,11334,2,103,long,21.25,1892.35,1300.85,1318.44,591.50,-17.58,573.91,30.3
crosswoz_10749_turn2,crosswoz,zh,10749,2,103,long,21.50,1878.84,1283.50,1284.53,595.33,-1.03,594.31,31.6
multiwoz_PMUL2296_turn2,multiwoz,en,PMUL2296,2,326,long,21.51,1427.75,874.80,916.64,552.95,-41.84,511.11,35.8
crosswoz_9577_turn2,crosswoz,zh,9577,2,109,long,21.77,1790.37,1135.97,1141.44,654.40,-5.47,648.93,36.2
crosswoz_9173_turn2,crosswoz,zh,9173,2,110,long,22.05,1684.60,1154.89,1203.72,529.71,-48.83,480.88,28.5
multiwoz_MUL0176_turn3,multiwoz,en,MUL0176,3,360,long,22.07,1512.28,1228.59,1283.25,283.69,-54.66,229.03,15.1
multiwoz_MUL0084_turn3,multiwoz,en,MUL0084,3,285,long,22.15,1529.02,923.63,937.20,605.39,-13.57,591.82,38.7
crosswoz_11730_turn2,crosswoz,zh,11730,2,112,long,22.45,1867.08,1086.19,1103.71,780.89,-17.52,763.37,40.9
crosswoz_10331_turn2,crosswoz,zh,10331,2,113,long,22.48,1842.50,1130.62,1205.99,711.88,-75.37,636.51,34.5
multiwoz_MUL1332_turn3,multiwoz,en,MUL1332,3,286,long,22.52,1616.29,1202.08,1271.15,414.21,-69.07,345.14,21.4
multiwoz_PMUL1904_turn3,multiwoz,en,PMUL1904,3,293,long,22.54,1546.07,877.67,1025.61,668.40,-147.94,520.45,33.7
multiwoz_PMUL1745_turn3,multiwoz,en,PMUL1745,3,314,long,22.56,1503.41,713.18,729.38,790.24,-16.20,774.03,51.5
multiwoz_MUL2018_turn3,multiwoz,en,MUL2018,3,323,long,22.81,1554.61,849.84,860.76,704.77,-10.92,693.85,44.6
crosswoz_98_turn2,crosswoz,zh,98,2,104,long,22.87,1932.21,849.16,873.53,1083.05,-24.37,1058.68,54.8
crosswoz_10040_turn2,crosswoz,zh,10040,2,112,long,22.91,1916.41,951.24,979.75,965.18,-28.52,936.66,48.9
multiwoz_MUL0183_turn2,multiwoz,en,MUL0183,2,343,long,23.18,1515.31,696.05,743.19,819.27,-47.14,772.12,51.0
multiwoz_PMUL2034_turn2,multiwoz,en,PMUL2034,2,348,long,23.42,1497.47,1173.45,1240.10,324.02,-66.66,257.36,17.2
multiwoz_MUL0874_turn3,multiwoz,en,MUL0874,3,344,long,23.46,1828.99,1283.40,1240.47,545.59,42.92,588.51,32.2
multiwoz_PMUL4612_turn3,multiwoz,en,PMUL4612,3,362,long,23.52,1636.84,1063.31,932.20,573.53,131.11,704.64,43.0
crosswoz_11361_turn2,crosswoz,zh,11361,2,120,long,23.64,2108.31,1557.08,1588.77,551.23,-31.70,519.53,24.6
multiwoz_PMUL2936_turn3,multiwoz,en,PMUL2936,3,329,long,23.88,1622.06,1580.23,1574.49,41.83,5.74,47.57,2.9
multiwoz_PMUL0085_turn3,multiwoz,en,PMUL0085,3,321,long,24.01,1380.12,1018.23,999.76,361.89,18.47,380.36,27.6
crosswoz_11613_turn3,crosswoz,zh,11613,3,112,long,24.09,2002.83,707.79,743.26,1295.04,-35.47,1259.57,62.9
crosswoz_8202_turn2,crosswoz,zh,8202,2,117,long,24.22,1855.54,1232.60,1211.60,622.94,21.01,643.94,34.7
multiwoz_PMUL4499_turn3,multiwoz,en,PMUL4499,3,433,long,24.29,1821.12,654.69,670.57,1166.44,-15.88,1150.55,63.2
multiwoz_PMUL4885_turn3,multiwoz,en,PMUL4885,3,331,long,24.40,1638.15,1188.33,1285.59,449.83,-97.27,352.56,21.5
crosswoz_12298_turn2,crosswoz,zh,12298,2,122,long,24.58,2023.86,1200.80,1209.78,823.06,-8.98,814.08,40.2
multiwoz_MUL0183_turn3,multiwoz,en,MUL0183,3,439,long,24.71,1774.31,1316.59,1351.04,457.72,-34.45,423.27,23.9
multiwoz_MUL1203_turn3,multiwoz,en,MUL1203,3,405,long,25.05,1683.53,956.30,909.21,727.24,47.09,774.33,46.0
crosswoz_9033_turn2,crosswoz,zh,9033,2,119,long,25.30,2811.68,928.14,953.60,1883.55,-25.46,1858.08,66.1
multiwoz_MUL1191_turn3,multiwoz,en,MUL1191,3,372,long,25.46,1814.75,1700.81,1685.47,113.93,15.34,129.27,7.1
multiwoz_MUL2174_turn3,multiwoz,en,MUL2174,3,302,long,25.60,1831.77,754.50,742.01,1077.27,12.49,1089.76,59.5
crosswoz_497_turn3,crosswoz,zh,497,3,131,long,25.65,2109.38,682.02,737.13,1427.36,-55.11,1372.25,65.1
crosswoz_11406_turn3,crosswoz,zh,11406,3,128,long,25.67,2075.83,759.43,799.97,1316.40,-40.54,1275.86,61.5
crosswoz_12299_turn2,crosswoz,zh,12299,2,122,long,25.69,2097.95,1097.92,1113.25,1000.03,-15.34,984.70,46.9
crosswoz_3145_turn2,crosswoz,zh,3145,2,123,long,25.75,2158.90,1515.01,1473.17,643.90,41.83,685.73,31.8
crosswoz_9365_turn3,crosswoz,zh,9365,3,137,long,25.87,2077.12,717.80,791.43,1359.31,-73.63,1285.69,61.9
crosswoz_10382_turn3,crosswoz,zh,10382,3,138,long,26.17,2138.39,1144.95,1069.12,993.43,75.83,1069.26,50.0
multiwoz_PMUL4031_turn3,multiwoz,en,PMUL4031,3,391,long,26.30,1717.65,913.43,941.65,804.21,-28.22,776.00,45.2
multiwoz_PMUL4254_turn3,multiwoz,en,PMUL4254,3,337,long,26.49,1740.55,940.17,956.77,800.38,-16.60,783.78,45.0
crosswoz_8424_turn3,crosswoz,zh,8424,3,182,long,26.51,2175.46,1504.25,1502.84,671.20,1.42,672.62,30.9
crosswoz_8672_turn2,crosswoz,zh,8672,2,125,long,26.59,2100.80,730.62,747.21,1370.19,-16.59,1353.60,64.4
multiwoz_PMUL0460_turn3,multiwoz,en,PMUL0460,3,353,long,26.62,1755.62,735.71,790.07,1019.91,-54.36,965.55,55.0
crosswoz_10296_turn2,crosswoz,zh,10296,2,121,long,26.67,2104.12,918.71,955.38,1185.41,-36.67,1148.73,54.6
crosswoz_8707_turn3,crosswoz,zh,8707,3,161,long,26.68,2102.82,891.17,983.58,1211.65,-92.41,1119.24,53.2
multiwoz_MUL1332_turn4,multiwoz,en,MUL1332,4,344,long,26.85,1763.63,1060.93,1038.46,702.70,22.47,725.17,41.1
multiwoz_PMUL2130_turn3,multiwoz,en,PMUL2130,3,403,long,26.89,1734.10,855.10,844.12,878.99,10.99,889.98,51.3
multiwoz_MUL0711_turn3,multiwoz,en,MUL0711,3,364,long,27.05,1714.63,1813.27,1866.59,-98.64,-53.32,-151.96,-8.9
multiwoz_MUL1320_turn4,multiwoz,en,MUL1320,4,350,long,27.13,1807.66,1307.79,1317.49,499.87,-9.70,490.17,27.1
crosswoz_9138_turn3,crosswoz,zh,9138,3,138,long,27.14,2303.99,930.59,953.52,1373.41,-22.93,1350.48,58.6
crosswoz_9080_turn2,crosswoz,zh,9080,2,132,long,27.38,2158.98,1539.22,1578.35,619.76,-39.12,580.63,26.9
crosswoz_10574_turn3,crosswoz,zh,10574,3,142,long,27.89,2209.70,903.63,975.98,1306.07,-72.35,1233.72,55.8
multiwoz_MUL1459_turn3,multiwoz,en,MUL1459,3,381,long,27.90,2240.57,994.76,973.65,1245.80,21.11,1266.91,56.5
multiwoz_MUL0076_turn3,multiwoz,en,MUL0076,3,402,long,28.07,1778.21,1161.33,1180.06,616.89,-18.73,598.16,33.6
crosswoz_422_turn3,crosswoz,zh,422,3,138,long,28.21,2063.08,877.43,902.65,1185.65,-25.22,1160.43,56.2
crosswoz_11893_turn2,crosswoz,zh,11893,2,141,long,28.63,2201.23,1256.18,1315.42,945.05,-59.24,885.81,40.2
crosswoz_12011_turn2,crosswoz,zh,12011,2,139,long,28.98,2258.15,778.80,792.52,1479.35,-13.72,1465.63,64.9
multiwoz_MUL1152_turn3,multiwoz,en,MUL1152,3,402,long,29.06,1707.86,1114.66,1148.42,593.20,-33.76,559.44,32.8
crosswoz_8436_turn2,crosswoz,zh,8436,2,136,long,29.08,2035.01,1000.97,1032.70,1034.04,-31.74,1002.30,49.3
multiwoz_MUL1377_turn2,multiwoz,en,MUL1377,2,369,long,29.25,1830.93,1005.86,1036.25,825.07,-30.40,794.67,43.4
multiwoz_PMUL2175_turn3,multiwoz,en,PMUL2175,3,400,long,29.51,1955.97,1351.87,1283.67,604.09,68.20,672.30,34.4
multiwoz_MUL0069_turn3,multiwoz,en,MUL0069,3,379,long,29.59,1885.40,1296.52,1295.72,588.89,0.80,589.69,31.3
crosswoz_10197_turn3,crosswoz,zh,10197,3,146,long,29.87,2311.85,1019.73,1296.53,1292.11,-276.80,1015.32,43.9
crosswoz_10661_turn3,crosswoz,zh,10661,3,151,long,29.87,2962.71,879.64,896.35,2083.07,-16.72,2066.35,69.7
crosswoz_1101_turn3,crosswoz,zh,1101,3,145,long,29.90,2899.95,838.70,820.99,2061.25,17.71,2078.96,71.7
multiwoz_MUL1027_turn3,multiwoz,en,MUL1027,3,409,long,29.96,1777.58,891.76,983.36,885.82,-91.61,794.21,44.7
crosswoz_8796_turn2,crosswoz,zh,8796,2,138,very_long,30.00,2686.63,967.82,1015.64,1718.81,-47.82,1670.99,62.2
multiwoz_PMUL0271_turn3,multiwoz,en,PMUL0271,3,413,very_long,30.09,1982.16,1067.94,1069.73,914.22,-1.79,912.43,46.0
multiwoz_PMUL2590_turn4,multiwoz,en,PMUL2590,4,423,very_long,30.28,1996.55,1657.72,1769.70,338.84,-111.98,226.85,11.4
multiwoz_MUL1215_turn3,multiwoz,en,MUL1215,3,374,very_long,30.41,2130.53,913.00,927.41,1217.53,-14.41,1203.12,56.5
crosswoz_10749_turn3,crosswoz,zh,10749,3,156,very_long,30.48,2783.37,1045.22,1036.16,1738.14,9.07,1747.21,62.8
crosswoz_7701_turn3,crosswoz,zh,7701,3,148,very_long,30.56,2463.68,877.14,918.22,1586.54,-41.08,1545.46,62.7
crosswoz_9200_turn3,crosswoz,zh,9200,3,144,very_long,30.84,2429.88,773.14,796.01,1656.74,-22.87,1633.87,67.2
multiwoz_MUL1330_turn3,multiwoz,en,MUL1330,3,515,very_long,30.85,2288.06,1103.48,1181.02,1184.57,-77.53,1107.04,48.4
multiwoz_MUL2016_turn3,multiwoz,en,MUL2016,3,412,very_long,31.00,2179.91,1183.45,1394.34,996.47,-210.89,785.58,36.0
multiwoz_MUL0176_turn4,multiwoz,en,MUL0176,4,498,very_long,31.58,2258.23,1103.04,1102.59,1155.19,0.45,1155.64,51.2
crosswoz_9956_turn4,crosswoz,zh,9956,4,151,very_long,31.60,2631.98,999.90,972.93,1632.08,26.97,1659.05,63.0
crosswoz_8202_turn3,crosswoz,zh,8202,3,172,very_long,31.61,2686.68,985.25,998.89,1701.43,-13.64,1687.79,62.8
crosswoz_8672_turn3,crosswoz,zh,8672,3,154,very_long,31.66,2804.85,852.29,755.97,1952.56,96.32,2048.88,73.0
multiwoz_MUL0666_turn3,multiwoz,en,MUL0666,3,459,very_long,31.97,2298.24,799.05,819.69,1499.19,-20.64,1478.55,64.3
multiwoz_MUL1031_turn3,multiwoz,en,MUL1031,3,459,very_long,32.00,2215.39,1237.21,1234.26,978.18,2.95,981.13,44.3
crosswoz_12315_turn3,crosswoz,zh,12315,3,156,very_long,32.11,2737.22,1345.40,1305.89,1391.82,39.51,1431.33,52.3
multiwoz_MUL1003_turn4,multiwoz,en,MUL1003,4,515,very_long,32.67,2386.69,1117.17,1107.91,1269.52,9.26,1278.78,53.6
crosswoz_9033_turn3,crosswoz,zh,9033,3,159,very_long,32.70,2887.08,861.23,896.82,2025.84,-35.59,1990.25,68.9
multiwoz_MUL0023_turn3,multiwoz,en,MUL0023,3,435,very_long,32.86,1974.45,1266.92,1268.55,707.53,-1.63,705.90,35.8
multiwoz_PMUL2296_turn3,multiwoz,en,PMUL2296,3,505,very_long,32.88,2276.29,681.50,687.13,1594.79,-5.63,1589.16,69.8
multiwoz_PMUL0322_turn4,multiwoz,en,PMUL0322,4,456,very_long,32.95,2343.52,1071.93,1130.87,1271.59,-58.93,1212.66,51.7
crosswoz_11248_turn2,crosswoz,zh,11248,2,160,very_long,33.08,2835.59,644.97,681.10,2190.62,-36.14,2154.49,76.0
multiwoz_MUL2157_turn3,multiwoz,en,MUL2157,3,407,very_long,33.35,2275.40,1156.90,1177.85,1118.49,-20.95,1097.55,48.2
multiwoz_PMUL2936_turn4,multiwoz,en,PMUL2936,4,446,very_long,33.53,1879.12,1076.05,1082.45,803.07,-6.40,796.68,42.4
crosswoz_10296_turn3,crosswoz,zh,10296,3,160,very_long,33.55,2969.22,1120.48,1139.33,1848.74,-18.85,1829.89,61.6
crosswoz_962_turn3,crosswoz,zh,962,3,160,very_long,33.74,2806.77,802.74,787.03,2004.03,15.71,2019.74,72.0
crosswoz_7652_turn2,crosswoz,zh,7652,2,215,very_long,33.83,2892.62,1107.98,1043.57,1784.64,64.41,1849.05,63.9
crosswoz_11361_turn3,crosswoz,zh,11361,3,160,very_long,34.16,3183.30,896.24,929.77,2287.06,-33.53,2253.53,70.8
multiwoz_PMUL2175_turn4,multiwoz,en,PMUL2175,4,489,very_long,34.33,2347.87,657.20,712.48,1690.67,-55.28,1635.39,69.7
multiwoz_MUL0789_turn3,multiwoz,en,MUL0789,3,441,very_long,34.46,2221.71,1303.68,1203.73,918.03,99.95,1017.98,45.8
multiwoz_PMUL1904_turn4,multiwoz,en,PMUL1904,4,440,very_long,34.73,2236.14,1271.94,1265.69,964.20,6.25,970.45,43.4
crosswoz_9173_turn3,crosswoz,zh,9173,3,174,very_long,34.78,2818.00,1288.48,1291.77,1529.52,-3.29,1526.23,54.2
multiwoz_MUL1001_turn3,multiwoz,en,MUL1001,3,489,very_long,34.98,2664.13,1042.56,848.61,1621.57,193.94,1815.51,68.1
multiwoz_PMUL4885_turn4,multiwoz,en,PMUL4885,4,451,very_long,35.10,2482.59,937.15,929.64,1545.44,7.51,1552.95,62.6
multiwoz_MUL0084_turn4,multiwoz,en,MUL0084,4,485,very_long,35.24,2639.88,1108.60,1123.75,1531.28,-15.15,1516.13,57.4
multiwoz_PMUL1745_turn4,multiwoz,en,PMUL1745,4,515,very_long,35.31,2502.91,958.63,1001.22,1544.28,-42.60,1501.68,60.0
crosswoz_8907_turn3,crosswoz,zh,8907,3,179,very_long,35.33,2943.81,979.84,1012.21,1963.97,-32.37,1931.61,65.6
crosswoz_11893_turn3,crosswoz,zh,11893,3,171,very_long,35.43,2734.19,1691.57,2082.04,1042.62,-390.47,652.15,23.9
crosswoz_11592_turn2,crosswoz,zh,11592,2,160,very_long,35.79,2804.09,1106.67,1008.89,1697.42,97.78,1795.20,64.0
crosswoz_11613_turn4,crosswoz,zh,11613,4,181,very_long,36.11,3068.39,1468.50,1739.55,1599.88,-271.04,1328.84,43.3
multiwoz_MUL0874_turn4,multiwoz,en,MUL0874,4,489,very_long,36.43,2488.23,1992.70,2125.88,495.52,-133.17,362.35,14.6
multiwoz_MUL1353_turn3,multiwoz,en,MUL1353,3,500,very_long,36.54,2461.94,1409.77,1314.41,1052.18,95.36,1147.54,46.6
crosswoz_9577_turn3,crosswoz,zh,9577,3,173,very_long,36.69,3363.16,939.49,931.28,2423.67,8.21,2431.88,72.3
multiwoz_MUL2174_turn4,multiwoz,en,MUL2174,4,468,very_long,36.72,2376.65,878.19,905.95,1498.46,-27.75,1470.70,61.9
crosswoz_7310_turn3,crosswoz,zh,7310,3,178,very_long,36.76,3229.34,1574.59,1603.66,1654.75,-29.07,1625.68,50.3
multiwoz_PMUL2034_turn3,multiwoz,en,PMUL2034,3,538,very_long,36.79,2744.78,1416.43,1521.70,1328.35,-105.26,1223.08,44.6
