sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,non-streaming,0.1429,0.0735,499.99,
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,non-streaming,0.2000,0.1316,537.31,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,non-streaming,0.0870,0.0870,708.22,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,non-streaming,0.0000,0.0000,575.50,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,non-streaming,0.0667,0.0274,513.32,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,non-streaming,0.0000,0.0000,686.77,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,non-streaming,0.0000,0.0000,644.86,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,non-streaming,0.1667,0.1163,577.55,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,streaming,0.8333,0.7093,631.28,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,non-streaming,0.4444,0.1031,574.83,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,streaming,0.8333,0.8454,602.09,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,non-streaming,0.0741,0.0741,705.98,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,non-streaming,0.0952,0.0215,577.66,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,non-streaming,0.0000,0.0000,710.79,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,non-streaming,0.0500,0.0204,598.98,
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,non-streaming,0.0741,0.0741,657.10,
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,non-streaming,0.0000,0.0000,590.93,
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,streaming,0.7895,0.8485,640.22,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,non-streaming,0.0000,0.0000,681.74,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,non-streaming,0.0714,0.0714,696.77,
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,non-streaming,0.0000,0.0000,684.45,
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,non-streaming,0.0588,0.0105,595.15,
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,streaming,0.5882,0.5263,683.54,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,non-streaming,0.0000,0.0000,749.75,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,non-streaming,0.1111,0.0460,562.60,
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,non-streaming,0.1290,0.1290,720.40,
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,streaming,0.6774,0.6774,819.83,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,non-streaming,0.0323,0.0323,828.23,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,non-streaming,0.0645,0.0645,716.30,
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,streaming,0.5806,0.5806,796.46,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,non-streaming,0.0000,0.0000,621.67,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,streaming,0.6316,0.7041,671.62,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,non-streaming,0.0968,0.0968,794.97,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,streaming,0.6774,0.6774,846.82,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,non-streaming,0.0303,0.0303,777.42,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.6364,0.6364,866.40,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.1613,0.1562,770.08,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.6774,0.6562,888.72,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.1600,0.1101,703.22,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.2000,0.1009,649.33,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.1212,0.1176,769.12,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0882,0.0882,813.07,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0833,0.0614,704.03,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.5000,0.5702,804.92,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0909,0.0093,702.01,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.5455,0.5185,807.48,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,non-streaming,0.0000,0.0000,798.05,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,non-streaming,0.0000,0.0000,740.25,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,streaming,0.5143,0.5143,879.11,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,non-streaming,0.0000,0.0000,710.80,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,non-streaming,0.0256,0.0256,800.89,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,non-streaming,0.0250,0.0250,836.71,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,streaming,0.7500,0.7500,910.28,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,non-streaming,0.0357,0.0143,736.22,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,non-streaming,0.0833,0.0833,848.70,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,streaming,0.6667,0.6667,902.09,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,non-streaming,0.1053,0.1053,807.13,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,non-streaming,0.1053,0.1053,832.40,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,streaming,0.5263,0.5263,952.07,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,non-streaming,0.0270,0.0270,800.61,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,streaming,0.5676,0.5676,895.31,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,non-streaming,0.0698,0.0698,855.01,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,streaming,0.5581,0.5581,950.34,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,non-streaming,0.7761,0.6868,705.69,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,non-streaming,0.0952,0.0952,873.51,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,streaming,0.6190,0.6190,964.56,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,non-streaming,0.0263,0.0263,870.46,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,streaming,0.7368,0.7368,936.66,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,non-streaming,0.0667,0.0143,761.73,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,streaming,0.1000,0.0214,700.91,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,non-streaming,0.0286,0.0541,808.97,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,streaming,0.6000,0.6216,907.22,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,non-streaming,0.0541,0.0789,914.40,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,streaming,0.4865,0.5000,952.91,
multiwoz_MUL0183_turn1,multiwoz,en,MUL0183,1,123,9.36,medium,non-streaming,0.0000,0.0000,705.52,
multiwoz_MUL0183_turn1,multiwoz,en,MUL0183,1,123,9.36,medium,streaming,0.0714,0.0083,598.74,
crosswoz_11406_turn1,crosswoz,zh,11406,1,48,9.55,medium,non-streaming,0.0952,0.0952,882.26,
crosswoz_11406_turn1,crosswoz,zh,11406,1,48,9.55,medium,streaming,0.5476,0.5476,889.35,
crosswoz_10574_turn1,crosswoz,zh,10574,1,46,9.59,medium,non-streaming,0.0244,0.0244,833.72,
crosswoz_10574_turn1,crosswoz,zh,10574,1,46,9.59,medium,streaming,0.5366,0.5366,862.80,
crosswoz_10382_turn1,crosswoz,zh,10382,1,49,9.61,medium,non-streaming,0.0682,0.0682,1050.96,
crosswoz_10382_turn1,crosswoz,zh,10382,1,49,9.61,medium,streaming,0.9545,0.9545,1097.71,
crosswoz_10749_turn1,crosswoz,zh,10749,1,47,9.61,medium,non-streaming,0.0244,0.0244,903.20,
crosswoz_10749_turn1,crosswoz,zh,10749,1,47,9.61,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9080_turn1,crosswoz,zh,9080,1,50,9.96,medium,non-streaming,0.0930,0.0909,951.65,
crosswoz_9080_turn1,crosswoz,zh,9080,1,50,9.96,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_11730_turn1,crosswoz,zh,11730,1,52,10.01,medium,non-streaming,0.0222,0.0222,940.85,
crosswoz_11730_turn1,crosswoz,zh,11730,1,52,10.01,medium,streaming,0.0222,0.0444,924.75,
multiwoz_MUL1377_turn1,multiwoz,en,MUL1377,1,159,10.01,medium,non-streaming,0.0333,0.0067,850.96,
multiwoz_MUL1377_turn1,multiwoz,en,MUL1377,1,159,10.01,medium,streaming,0.8333,0.7933,924.26,
multiwoz_PMUL0237_turn2,multiwoz,en,PMUL0237,2,161,10.24,medium,non-streaming,0.2222,0.0701,791.93,
multiwoz_PMUL0237_turn2,multiwoz,en,PMUL0237,2,161,10.24,medium,streaming,0.2963,0.0828,552.10,
crosswoz_9577_turn1,crosswoz,zh,9577,1,51,10.29,medium,non-streaming,0.0444,0.0444,919.19,
crosswoz_9577_turn1,crosswoz,zh,9577,1,51,10.29,medium,streaming,0.0444,0.0667,651.61,
crosswoz_7310_turn1,crosswoz,zh,7310,1,50,10.39,medium,non-streaming,0.1000,0.0976,847.04,
crosswoz_7310_turn1,crosswoz,zh,7310,1,50,10.39,medium,streaming,0.7250,0.7317,925.75,
crosswoz_7701_turn1,crosswoz,zh,7701,1,52,10.63,medium,non-streaming,0.0000,0.0222,954.01,
crosswoz_7701_turn1,crosswoz,zh,7701,1,52,10.63,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10040_turn1,crosswoz,zh,10040,1,53,10.69,medium,non-streaming,0.0682,0.0667,1005.56,
crosswoz_10040_turn1,crosswoz,zh,10040,1,53,10.69,medium,streaming,0.5682,0.5556,1113.05,
crosswoz_11248_turn1,crosswoz,zh,11248,1,56,10.76,medium,non-streaming,0.0000,0.0000,917.63,
crosswoz_11248_turn1,crosswoz,zh,11248,1,56,10.76,medium,streaming,0.4490,0.4490,964.62,
multiwoz_PMUL2590_turn2,multiwoz,en,PMUL2590,2,144,10.81,medium,non-streaming,0.2593,0.1799,837.76,
multiwoz_PMUL2590_turn2,multiwoz,en,PMUL2590,2,144,10.81,medium,streaming,0.5556,0.4604,889.73,
crosswoz_962_turn1,crosswoz,zh,962,1,54,11.01,medium,non-streaming,0.0833,0.0833,966.90,
crosswoz_962_turn1,crosswoz,zh,962,1,54,11.01,medium,streaming,0.6667,0.6667,1073.14,
crosswoz_9275_turn1,crosswoz,zh,9275,1,54,11.09,medium,non-streaming,0.0800,0.0800,1013.99,
crosswoz_9275_turn1,crosswoz,zh,9275,1,54,11.09,medium,streaming,0.5000,0.5000,1066.11,
multiwoz_MUL1332_turn2,multiwoz,en,MUL1332,2,170,11.09,medium,non-streaming,0.1290,0.0368,841.41,
multiwoz_MUL1332_turn2,multiwoz,en,MUL1332,2,170,11.09,medium,streaming,0.1613,0.0429,680.26,
crosswoz_12299_turn1,crosswoz,zh,12299,1,54,11.21,medium,non-streaming,0.0417,0.0417,1042.45,
crosswoz_12299_turn1,crosswoz,zh,12299,1,54,11.21,medium,streaming,0.5208,0.5208,1041.80,
multiwoz_MUL1320_turn2,multiwoz,en,MUL1320,2,165,11.34,medium,non-streaming,0.1562,0.0443,896.15,
multiwoz_MUL1320_turn2,multiwoz,en,MUL1320,2,165,11.34,medium,streaming,0.1562,0.0443,614.98,
crosswoz_11893_turn1,crosswoz,zh,11893,1,58,11.67,medium,non-streaming,0.0189,0.0189,975.61,
crosswoz_11893_turn1,crosswoz,zh,11893,1,58,11.67,medium,streaming,0.0189,0.0377,866.18,
multiwoz_MUL1203_turn2,multiwoz,en,MUL1203,2,188,12.33,medium,non-streaming,0.2000,0.0328,896.53,
multiwoz_MUL1203_turn2,multiwoz,en,MUL1203,2,188,12.33,medium,streaming,0.2571,0.0383,595.75,
multiwoz_PMUL1904_turn2,multiwoz,en,PMUL1904,2,172,12.33,medium,non-streaming,0.0606,0.0539,907.14,
multiwoz_PMUL1904_turn2,multiwoz,en,PMUL1904,2,172,12.33,medium,streaming,0.0909,0.0479,703.33,
multiwoz_MUL0176_turn2,multiwoz,en,MUL0176,2,195,12.39,medium,non-streaming,0.0263,0.0211,968.54,
multiwoz_MUL0176_turn2,multiwoz,en,MUL0176,2,195,12.39,medium,streaming,0.0789,0.0316,629.25,
multiwoz_MUL0874_turn2,multiwoz,en,MUL0874,2,190,12.84,medium,non-streaming,0.0278,0.0162,905.00,
multiwoz_MUL0874_turn2,multiwoz,en,MUL0874,2,190,12.84,medium,streaming,0.0833,0.0216,511.61,
multiwoz_MUL0023_turn2,multiwoz,en,MUL0023,2,194,12.95,medium,non-streaming,0.2000,0.1058,908.86,
multiwoz_MUL0023_turn2,multiwoz,en,MUL0023,2,194,12.95,medium,streaming,0.2571,0.1005,647.37,
multiwoz_PMUL0085_turn2,multiwoz,en,PMUL0085,2,186,13.02,medium,non-streaming,0.0571,0.0726,933.29,
multiwoz_PMUL0085_turn2,multiwoz,en,PMUL0085,2,186,13.02,medium,streaming,0.0857,0.0782,759.37,
crosswoz_9956_turn2,crosswoz,zh,9956,2,62,13.25,medium,non-streaming,0.0385,0.0741,1204.59,
crosswoz_9956_turn2,crosswoz,zh,9956,2,62,13.25,medium,streaming,0.0192,0.0741,824.35,
multiwoz_MUL2018_turn2,multiwoz,en,MUL2018,2,192,13.36,medium,non-streaming,0.1351,0.0914,977.10,
multiwoz_MUL2018_turn2,multiwoz,en,MUL2018,2,192,13.36,medium,streaming,0.1892,0.1022,1079.72,
multiwoz_MUL0193_turn2,multiwoz,en,MUL0193,2,231,13.56,medium,non-streaming,0.1250,0.0221,935.57,
multiwoz_MUL0193_turn2,multiwoz,en,MUL0193,2,231,13.56,medium,streaming,0.1750,0.0265,738.29,
multiwoz_PMUL4031_turn2,multiwoz,en,PMUL4031,2,196,13.77,medium,non-streaming,0.0571,0.0106,904.85,
multiwoz_PMUL4031_turn2,multiwoz,en,PMUL4031,2,196,13.77,medium,streaming,0.1143,0.0160,518.42,
multiwoz_PMUL4254_turn2,multiwoz,en,PMUL4254,2,198,14.01,medium,non-streaming,0.3333,0.1640,1115.44,
multiwoz_PMUL4254_turn2,multiwoz,en,PMUL4254,2,198,14.01,medium,streaming,0.3077,0.1429,889.90,
multiwoz_MUL1027_turn2,multiwoz,en,MUL1027,2,187,14.05,medium,non-streaming,0.1429,0.0383,890.90,
multiwoz_MUL1027_turn2,multiwoz,en,MUL1027,2,187,14.05,medium,streaming,0.6857,0.6230,921.45,
crosswoz_9138_turn2,crosswoz,zh,9138,2,70,14.08,medium,non-streaming,0.0820,0.1111,1184.05,
crosswoz_9138_turn2,crosswoz,zh,9138,2,70,14.08,medium,streaming,0.0984,0.0952,665.59,
multiwoz_PMUL0322_turn2,multiwoz,en,PMUL0322,2,186,14.14,medium,non-streaming,0.2432,0.0833,956.73,
multiwoz_PMUL0322_turn2,multiwoz,en,PMUL0322,2,186,14.14,medium,streaming,0.2973,0.1000,639.27,
multiwoz_PMUL0271_turn2,multiwoz,en,PMUL0271,2,237,14.26,medium,non-streaming,0.0638,0.0130,1077.39,
multiwoz_PMUL0271_turn2,multiwoz,en,PMUL0271,2,237,14.26,medium,streaming,0.1064,0.0173,516.83,
multiwoz_PMUL1745_turn2,multiwoz,en,PMUL1745,2,226,14.40,medium,non-streaming,0.0909,0.0181,1014.26,
multiwoz_PMUL1745_turn2,multiwoz,en,PMUL1745,2,226,14.40,medium,streaming,0.8182,0.7149,1054.81,
multiwoz_MUL1003_turn2,multiwoz,en,MUL1003,2,213,14.78,medium,non-streaming,0.0000,0.0000,985.93,
multiwoz_MUL1003_turn2,multiwoz,en,MUL1003,2,213,14.78,medium,streaming,0.0500,0.0048,666.55,
multiwoz_MUL0069_turn2,multiwoz,en,MUL0069,2,208,14.94,medium,non-streaming,0.1364,0.1244,1102.62,
multiwoz_MUL0069_turn2,multiwoz,en,MUL0069,2,208,14.94,medium,streaming,0.2273,0.1393,1047.75,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,non-streaming,0.1818,0.0608,994.50,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,streaming,0.1818,0.0939,784.76,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,non-streaming,0.0500,0.0100,994.49,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,streaming,0.6750,0.6766,1010.46,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,non-streaming,0.0678,0.0984,1363.77,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,streaming,0.0508,0.0492,869.93,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,non-streaming,0.2927,0.1451,1097.71,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,streaming,0.2927,0.1451,813.33,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,non-streaming,0.1842,0.0660,1324.67,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,streaming,0.2105,0.0761,527.53,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,non-streaming,0.1622,0.0650,962.28,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,streaming,0.1622,0.0550,742.62,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,non-streaming,0.3256,0.1535,1075.22,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,streaming,0.3721,0.1535,776.96,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,non-streaming,0.0441,0.0714,1612.58,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,streaming,0.0441,0.0714,735.80,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,non-streaming,0.0392,0.0122,1135.87,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,streaming,0.3137,0.3008,1216.04,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,non-streaming,0.0667,0.0169,1167.68,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,streaming,0.1111,0.0212,722.32,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,non-streaming,0.1194,0.1429,1333.93,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,streaming,0.0896,0.0857,831.35,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,non-streaming,0.2683,0.2042,1071.36,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,streaming,0.6585,0.6545,1185.78,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,non-streaming,0.1522,0.0673,1001.45,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,streaming,0.2174,0.0673,714.85,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,non-streaming,0.0667,0.0909,1708.92,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,streaming,0.6667,0.6753,1460.02,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,non-streaming,0.0423,0.0676,1339.67,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,streaming,0.0845,0.0811,906.32,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,non-streaming,0.2439,0.0736,1460.11,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,streaming,0.1951,0.0563,706.93,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,non-streaming,0.0345,0.0149,1194.18,
